NC_060947.1	359745	366177	1	6432
NC_060947.1	7722645	7734708	1	12063
NC_060947.1	151659219	151665822	1	6603
NC_060947.1	359725	366202	2	6477
NC_060947.1	7722679	7734679	2	12000
NC_060947.1	151659493	151665865	2	6372
NC_060947.1	359918	366206	3	6288
NC_060947.1	151659503	151665851	3	6348
NC_060947.1	3253387	3259066	-1	5679
NC_060947.1	151389693	151396119	-2	6426
NC_060947.1	74174571	74180871	-2	6300
NC_060947.1	3253152	3259275	-2	6123
NC_060947.1	7724006	7730822	-3	6816
NC_060947.1	3253016	3259088	-3	6072
